PD,LGD,EAD,DF,Stage,ECL_base,ECL_Optimistic,ECL_Base,ECL_Pessimistic,ECL_weighted,actual_default
0.1384,0.45,163992.0,0.9524,2,9730.5762,20434.2101,29191.7287,43787.5931,30651.3152,0
0.159,0.45,95148.0,0.9524,2,6484.0045,13616.4094,19452.0134,29178.0201,20424.614,0
0.1952,0.45,21300.0,0.9524,2,1781.8524,3741.89,5345.5571,8018.3356,5612.8349,0
0.1275,0.45,75552.0,0.9524,2,4127.9521,8668.6994,12383.8562,18575.7844,13003.0491,0
0.1089,0.45,81000.0,0.9524,2,3780.7179,7939.5075,11342.1536,17013.2305,11909.2613,0
0.1321,0.45,32400.0,0.9524,2,1834.2752,3851.978,5502.8257,8254.2385,5777.9669,0
0.3098,0.45,16650.0,0.9524,3,2210.3166,4641.6649,6630.9499,9946.4248,6962.4973,1
0.3495,0.45,64800.0,0.9524,2,9705.4254,20381.3933,29116.2762,43674.4143,30572.09,0
0.1373,0.45,35568.0,0.9524,2,2093.5981,4396.556,6280.7943,9421.1915,6594.834,0
0.1563,0.45,94500.0,0.9524,2,6331.416,13295.9736,18994.248,28491.3721,19943.9605,0
0.1183,0.45,36000.0,0.9524,2,1825.6926,3833.9546,5477.0779,8215.6169,5750.9318,0
0.1151,0.45,94572.0,0.9524,2,4663.614,9793.5893,13990.8419,20986.2628,14690.384,0
0.3792,0.45,75600.0,0.9524,2,12286.0763,25800.7602,36858.2289,55287.3434,38701.1404,0
0.1987,0.45,30000.0,0.9524,2,2554.7815,5365.0411,7664.3444,11496.5166,8047.5616,0
0.3964,0.45,52800.0,0.9524,3,8970.784,18838.6465,26912.3521,40368.5281,28257.9697,1
0.3241,0.45,64800.0,0.9524,2,9001.7209,18903.6138,27005.1626,40507.744,28355.4208,0
0.212,0.45,64800.0,0.9524,2,5888.4438,12365.7321,17665.3315,26497.9973,18548.5981,0
0.4592,0.45,18924.0,0.9524,2,3723.9738,7820.345,11171.9214,16757.8821,11730.5174,0
0.5785,0.45,122592.0,0.9524,3,30391.4816,63822.1114,91174.4448,136761.6672,95733.167,0
0.4942,0.45,34960.0,0.9524,2,7404.7605,15549.9971,22214.2816,33321.4224,23324.9957,0
0.1321,0.45,205887.24,0.9524,2,11659.8721,24485.7314,34979.6163,52469.4244,36728.5971,0
0.6733,0.45,22020.0,0.9524,3,6354.2262,13343.8749,19062.6785,28311.4286,19945.1651,1
0.1173,0.45,64800.0,0.9524,2,3256.7065,6839.0838,9770.1196,14655.1795,10258.6256,0
0.9029,0.45,12024.0,0.9524,3,4652.7245,9770.7215,13958.1736,15459.4286,13286.6243,1
0.3024,0.45,120000.0,0.9524,2,15550.3761,32655.7899,46651.1284,69976.6926,48983.6848,0
0.3349,0.45,36000.0,0.9524,2,5167.5199,10851.7919,15502.5598,23253.8397,16277.6878,0
0.1485,0.45,44208.0,0.9524,2,2813.1727,5907.6626,8439.518,12659.277,8861.4939,0
0.2558,0.45,62400.0,0.9524,2,6841.6547,14367.4749,20524.9642,30787.4463,21551.2124,0
0.3936,0.45,18000.0,0.9524,2,3036.2929,6376.2151,9108.8787,13663.3181,9564.3227,0
0.2523,0.45,18012.0,0.9524,2,1947.7667,4090.3101,5843.3002,8764.9502,6135.4652,0
0.3027,0.45,56520.0,0.9524,2,7332.1616,15397.5395,21996.4849,32994.7274,23096.3092,0
0.2357,0.45,19992.0,0.9524,2,2019.3616,4240.6593,6058.0847,9087.127,6360.9889,0
0.1121,0.45,120000.0,0.9524,2,5762.9417,12102.1777,17288.8252,25933.2379,18153.2665,0
0.2877,0.45,28500.0,0.9524,2,3513.8107,7379.0025,10541.4321,15812.1482,11068.5037,0
0.3179,0.45,64800.0,0.9524,2,8829.564,18542.0843,26488.6919,39733.0379,27813.1265,0
0.7242,0.45,79320.0,0.9524,3,24620.2735,51702.5743,73860.8204,101982.8571,75351.7681,0
0.3024,0.45,84000.0,0.9524,2,10887.9566,22864.7088,32663.8697,48995.8046,34297.0632,0
0.2406,0.45,21600.0,0.9524,2,2227.4871,4677.7228,6682.4612,10023.6918,7016.5842,0
0.9967,0.45,29199.0,0.9524,3,12472.9968,26193.2932,37418.9903,37541.5714,34643.2113,0
0.1344,0.45,64800.0,0.9524,2,3731.4712,7836.0895,11194.4135,16791.6203,11754.1342,0
0.9952,0.45,72000.0,0.9524,3,30709.6382,64490.2401,92128.9145,92571.4286,85329.8744,1
0.7016,0.45,36000.0,0.9524,3,10824.6989,22731.8676,32474.0966,46285.7143,33491.4438,0
0.1566,0.45,14537.1429,0.9524,2,975.5333,2048.6199,2926.5999,4389.8998,3072.9299,0
0.1465,0.45,7560.0,0.9524,2,474.6304,996.7238,1423.8911,2135.8366,1495.0857,0
0.1866,0.45,22080.0,0.9524,2,1766.214,3709.0494,5298.642,7947.963,5563.5741,0
0.3462,0.45,48000.0,0.9524,2,7121.8435,14955.8714,21365.5306,32048.2959,22433.8072,0
0.3238,0.45,39000.0,0.9524,2,5411.2743,11363.6761,16233.823,24350.7344,17045.5141,0
0.1756,0.45,25884.0,0.9524,2,1948.026,4090.8547,5844.0781,8766.1171,6136.282,0
0.3088,0.45,42780.0,0.9524,2,5661.1847,11888.488,16983.5542,25475.3313,17832.7319,0
0.4386,0.45,22008.0,0.9524,2,4137.0505,8687.806,12411.1514,18616.7272,13031.709,0
0.1955,0.45,64800.0,0.9524,2,5430.0501,11403.1051,16290.1502,24435.2253,17104.6577,0
0.1998,0.45,64800.0,0.9524,2,5549.7964,11654.5724,16649.3891,24974.0837,17481.8586,0
0.2704,0.45,14400.0,0.9524,2,1668.7574,3504.3906,5006.2723,7509.4085,5256.586,0
0.6461,0.45,55284.0,0.9524,3,15307.436,32145.6156,45922.308,68883.462,48218.4234,0
0.3565,0.45,64200.0,0.9524,2,9809.0029,20598.9061,29427.0088,44140.5132,30898.3592,0
0.2767,0.45,64800.0,0.9524,2,7684.8498,16138.1846,23054.5494,34581.824,24207.2768,0
0.3422,0.45,37440.0,0.9524,2,5490.6258,11530.3143,16471.8775,24707.8163,17295.4714,0
0.2953,0.45,10360.8,0.9524,2,1311.1523,2753.4199,3933.457,5900.1855,4130.1298,0
0.3219,0.45,64800.0,0.9524,2,8939.4923,18772.9339,26818.477,40227.7155,28159.4009,0
0.9222,0.45,18458.4,0.9524,3,7295.5937,15320.7467,21886.7811,23732.2286,20706.6344,0
0.2387,0.45,27498.0,0.9524,2,2812.5856,5906.4298,8437.7568,12656.6352,8859.6446,0
0.17,0.45,64800.0,0.9524,2,4721.5996,9915.3592,14164.7989,21247.1983,14873.0388,0
0.3691,0.45,15328.0,0.9524,2,2424.6333,5091.7299,7273.8999,10910.8499,7637.5949,0
0.2745,0.45,15200.0,0.9524,2,1788.2344,3755.2923,5364.7032,8047.0549,5632.9384,0
0.6645,0.45,37992.0,0.9524,3,10819.7775,22721.5327,32459.3325,48688.9987,34082.2991,0
0.2202,0.45,55200.0,0.9524,2,5209.2059,10939.3324,15627.6177,23441.4265,16408.9986,0
0.5555,0.45,186108.0,0.9524,3,44303.7584,93037.8926,132911.2752,199366.9128,139556.839,0
0.2128,0.45,96000.0,0.9524,2,8756.8112,18389.3036,26270.4337,39405.6505,27583.9554,0
0.1587,0.45,39672.0,0.9524,2,2698.604,5667.0684,8095.8121,12143.7181,8500.6027,0
0.3083,0.45,48000.0,0.9524,2,6341.4976,13317.1451,19024.4929,28536.7394,19975.7176,0
0.7949,0.45,24480.0,0.9524,3,8339.378,17512.6937,25018.1339,31474.2857,24755.8118,1
0.3345,0.45,14000.0,0.9524,2,2007.1789,4215.0756,6021.5366,9032.3049,6322.6134,0
0.989,0.45,99996.0,0.9524,3,42384.4228,89007.2879,127153.2685,128566.2857,117970.0276,1
0.1788,0.45,64800.0,0.9524,2,4966.891,10430.4711,14900.673,22351.0096,15645.7067,0
0.9999,0.45,52992.0,0.9524,3,22709.525,47690.0026,68128.5751,68132.5714,63019.9311,0
0.3259,0.45,19420.0,0.9524,2,2712.6278,5696.5184,8137.8834,12206.825,8544.7775,0
0.1349,0.45,64800.0,0.9524,2,3745.4744,7865.4963,11236.4232,16854.6349,11798.2444,0
0.3719,0.45,49640.0,0.9524,2,7912.0862,16615.381,23736.2586,35604.3879,24923.0715,0
0.5406,0.45,64800.0,0.9524,3,15014.5168,31530.4853,45043.5504,67565.3256,47295.7279,0
0.536,0.45,27000.0,0.9524,3,6202.7515,13025.7781,18608.2545,27912.3817,19538.6672,0
0.2146,0.45,88200.0,0.9524,2,8110.2612,17031.5485,24330.7836,36496.1753,25547.3227,0
0.1542,0.45,129996.0,0.9524,2,8589.8701,18038.7271,25769.6102,38654.4153,27058.0907,0
0.3106,0.45,55800.0,0.9524,2,7428.7688,15600.4145,22286.3064,33429.4596,23400.6217,0
0.1276,0.45,5400.0,0.9524,2,295.1991,619.918,885.5972,1328.3958,929.877,0
0.1076,0.45,52788.0,0.9524,2,2434.4251,5112.2927,7303.2752,10954.9128,7668.439,0
0.3769,0.45,27000.0,0.9524,2,4360.8223,9157.7269,13082.4669,19623.7004,13736.5903,0
0.6511,0.45,64800.0,0.9524,3,18083.2653,37974.8572,54249.796,81374.6941,56962.2858,0
0.2563,0.45,84000.0,0.9524,2,9225.0166,19372.5349,27675.0499,41512.5748,29058.8023,0
0.6515,0.45,15600.0,0.9524,3,4355.4902,9146.5293,13066.4705,19599.7057,13719.794,0
0.9825,0.45,40380.0,0.9524,3,17003.4669,35707.2804,51010.4006,51917.1429,47411.3061,0
0.1001,0.45,64800.0,0.9524,2,2781.2511,5840.6273,8343.7533,12515.6299,8760.9409,0
0.5598,0.45,91992.0,0.9524,3,22070.5647,46348.1859,66211.6942,99317.5412,69522.2789,0
0.4833,0.45,31200.0,0.9524,2,6462.274,13570.7753,19386.8219,29080.2329,20356.163,0
0.2209,0.45,72000.0,0.9524,2,6817.8687,14317.5242,20453.606,30680.409,21476.2863,0
0.2743,0.45,69996.0,0.9524,2,8227.7991,17278.3781,24683.3973,37025.096,25917.5672,0
0.5166,0.45,50400.0,0.9524,3,11158.9105,23433.712,33476.7315,50215.0972,35150.5681,0
0.1665,0.45,64800.0,0.9524,2,4624.9503,9712.3957,13874.851,20812.2764,14568.5935,0
0.7078,0.45,64800.0,0.9524,3,19656.1034,41277.8172,58968.3103,83314.2857,60632.1809,0
0.1205,0.45,39996.0,0.9524,2,2066.0074,4338.6156,6198.0223,9297.0334,6507.9234,0
0.3153,0.45,25800.0,0.9524,2,3486.52,7321.6921,10459.5601,15689.3402,10982.5381,0
0.1539,0.45,123492.0,0.9524,2,8144.7549,17103.9853,24434.2647,36651.3971,25655.978,0
0.2176,0.45,36600.0,0.9524,2,3413.3817,7168.1015,10240.145,15360.2175,10752.1522,0
0.2568,0.45,63696.0,0.9524,2,7011.4327,14724.0087,21034.2981,31551.4472,22086.013,0
0.1308,0.45,47496.0,0.9524,2,2663.3039,5592.9383,7989.9118,11984.8678,8389.4074,0
0.4565,0.45,38332.0,0.9524,2,7499.2833,15748.4949,22497.8498,33746.7747,23622.7423,0
0.1585,0.45,126000.0,0.9524,2,8560.6445,17977.3534,25681.9334,38522.9001,26966.0301,0
0.1905,0.45,120888.0,0.9524,2,9871.58,20730.3179,29614.7399,44422.1098,31095.4769,0
0.1968,0.45,38000.0,0.9524,2,3204.3454,6729.1254,9613.0363,14419.5544,10093.6881,0
0.2094,0.45,126000.0,0.9524,2,11309.1398,23749.1935,33927.4193,50891.129,35623.7903,0
0.6438,0.45,35000.0,0.9524,3,9657.7127,20281.1966,28973.138,43459.707,30421.7949,0
0.5916,0.45,70200.0,0.9524,3,17798.7371,37377.348,53396.2114,80094.3171,56066.022,0
0.2702,0.45,41400.0,0.9524,2,4793.4588,10066.2635,14380.3764,21570.5645,15099.3952,0
0.3107,0.45,46800.0,0.9524,2,6232.4611,13088.1683,18697.3832,28046.0749,19632.2524,0
0.119,0.45,28800.0,0.9524,2,1468.7025,3084.2753,4406.1076,6609.1614,4626.413,0
0.1979,0.45,64800.0,0.9524,2,5495.7242,11541.0208,16487.1726,24730.7588,17311.5312,0
0.2954,0.45,0.0,0.9524,2,0.0,0.0,0.0,0.0,0.0,0
0.1817,0.45,132000.0,0.9524,2,10280.32,21588.6719,30840.9599,46261.4399,32383.0079,0
0.2233,0.45,23040.0,0.9524,2,2204.8536,4630.1925,6614.5608,9921.8411,6945.2888,0
0.1505,0.45,49992.0,0.9524,2,3225.0637,6772.6338,9675.1912,14512.7868,10158.9508,0
0.4209,0.45,144600.0,0.9524,2,26082.2449,54772.7144,78246.7348,117370.1023,82159.0716,0
0.2111,0.45,26104.0,0.9524,2,2361.6345,4959.4325,7084.9036,10627.3554,7439.1488,0
0.1375,0.45,71148.0,0.9524,2,4192.492,8804.2332,12577.4761,18866.2141,13206.3499,0
0.2013,0.45,21000.0,0.9524,2,1811.7815,3804.7411,5435.3444,8153.0167,5707.1117,0
0.3239,0.45,84936.0,0.9524,2,11788.8654,24756.6173,35366.5962,53049.8942,37134.926,0
0.1018,0.45,84300.0,0.9524,2,3677.8162,7723.4141,11033.4487,16550.173,11585.1211,0
0.7458,0.45,39600.0,0.9524,3,12656.5247,26578.7019,37969.5742,50914.2857,38358.034,0
0.1394,0.45,64800.0,0.9524,2,3870.2465,8127.5177,11610.7395,17416.1093,12191.2765,0
0.0874,0.45,64800.0,0.9524,1,2427.7774,1699.4442,2427.7774,3641.6662,2549.1663,0
0.1187,0.45,97644.0,0.9524,2,4968.7663,10434.4092,14906.2989,22359.4483,15651.6138,0
0.196,0.45,47298.0,0.9524,2,3973.3116,8343.9544,11919.9348,17879.9022,12515.9315,0
0.2445,0.45,60000.0,0.9524,2,6288.1242,13205.0608,18864.3725,28296.5588,19807.5911,0
0.1504,0.45,115020.0,0.9524,2,7412.4147,15566.071,22237.2442,33355.8664,23349.1065,0
0.1076,0.45,42000.0,0.9524,2,1937.5079,4068.7666,5812.5238,8718.7856,6103.1499,0
0.6875,0.45,12000.0,0.9524,3,3535.5937,7424.7468,10606.7812,15428.5714,11016.7202,0
0.3508,0.45,25730.4,0.9524,2,3867.9046,8122.5997,11603.7139,17405.5708,12183.8996,0
0.1385,0.45,60012.0,0.9524,2,3562.0812,7480.3706,10686.2437,16029.3656,11220.5559,0
0.9211,0.45,27036.0,0.9524,3,10672.4592,22412.1643,32017.3775,34760.5714,30301.8727,0
0.067,0.45,64800.0,0.9524,1,1860.9339,1302.6537,1860.9339,2791.4008,1953.9806,0
0.2736,0.45,33252.0,0.9524,2,3898.4569,8186.7594,11695.3706,17543.0559,12280.1391,0
0.1636,0.45,29664.0,0.9524,2,2079.8066,4367.5938,6239.4197,9359.1295,6551.3907,0
0.5606,0.45,21000.0,0.9524,3,5045.7795,10596.1369,15137.3385,22706.0077,15894.2054,0
0.4518,0.45,60000.0,0.9524,3,11618.1857,24398.19,34854.5571,52281.8357,36597.285,1
0.264,0.45,74400.0,0.9524,2,8416.7325,17675.1382,25250.1975,37875.2962,26512.7073,0
0.1569,0.45,64800.0,0.9524,2,4356.0774,9147.7626,13068.2323,19602.3485,13721.6439,0
0.209,0.45,22000.0,0.9524,2,1970.3848,4137.8081,5911.1544,8866.7316,6206.7121,0
0.5568,0.45,17798.4,0.9524,3,4247.3116,8919.3543,12741.9347,19112.9021,13379.0315,0
0.1625,0.45,95640.0,0.9524,2,6660.2658,13986.5582,19980.7974,29971.1961,20979.8373,0
0.4066,0.45,114180.0,0.9524,2,19896.6745,41783.0164,59690.0234,89535.0351,62674.5246,0
0.1733,0.45,67200.0,0.9524,2,4991.1254,10481.3632,14973.3761,22460.0641,15722.0449,0
0.234,0.45,24804.0,0.9524,2,2487.7869,5224.3524,7463.3606,11195.0408,7836.5286,0
0.3084,0.45,49800.0,0.9524,2,6581.1665,13820.4496,19743.4994,29615.2492,20730.6744,0
0.8107,0.45,33000.0,0.9524,3,11465.4654,24077.4774,34396.3963,42428.5714,33824.7103,0
1.0,0.45,28800.0,0.9524,3,12342.8571,25920.0,37028.5714,37028.5714,34251.4286,1
0.3227,0.45,126000.0,0.9524,3,17423.5457,36589.4459,52270.637,78405.9555,54884.1688,1
0.6513,0.45,64800.0,0.9524,3,18087.5124,37983.7761,54262.5372,81393.8059,56975.6641,0
0.0978,0.45,64800.0,0.9524,1,2714.8249,1900.3774,2714.8249,4072.2373,2850.5661,0
0.1911,0.45,26000.0,0.9524,2,2129.2321,4471.3875,6387.6964,9581.5445,6707.0812,0
0.339,0.45,31800.0,0.9524,2,4620.7,9703.47,13862.1,20793.15,14555.205,0
0.622,0.45,13326.0,0.9524,3,3552.2701,7459.7672,10656.8104,15985.2155,11189.6509,0
0.1114,0.45,64800.0,0.9524,2,3093.7626,6496.9014,9281.2877,13921.9316,9745.3521,0
0.1075,0.45,64800.0,0.9524,2,2986.1423,6270.8989,8958.427,13437.6405,9406.3484,0
0.1636,0.45,33960.0,0.9524,2,2380.6106,4999.2822,7141.8317,10712.7475,7498.9233,0
0.3027,0.45,15476.0,0.9524,2,2007.5418,4215.8378,6022.6254,9033.9381,6323.7567,0
0.0951,0.45,64800.0,0.9524,1,2642.1407,1849.4985,2642.1407,3963.211,2774.2477,0
0.4636,0.45,16035.0,0.9524,2,3185.9124,6690.4159,9557.7371,14336.6056,10035.6239,0
0.567,0.45,32400.0,0.9524,3,7872.6934,16532.6562,23618.0803,35427.1205,24798.9844,0
0.2496,0.45,81924.0,0.9524,2,8764.965,18406.4265,26294.8949,39442.3424,27609.6397,0
0.4485,0.45,60000.0,0.9524,2,11531.8542,24216.8938,34595.5625,51893.3438,36325.3407,0
0.8417,0.45,107100.0,0.9524,3,38634.4807,81132.4095,115903.4422,137700.0,112659.8235,0
0.0711,0.45,64800.0,0.9524,1,1974.4189,1382.0932,1974.4189,2961.6283,2073.1398,0
0.9086,0.45,64800.0,0.9524,3,25232.5756,52988.4088,75697.7268,83314.2857,71924.537,1
0.4497,0.45,16164.0,0.9524,2,3115.3101,6542.1511,9345.9302,14018.8952,9813.2267,0
0.2685,0.45,17359.2,0.9524,2,1997.8937,4195.5767,5993.681,8990.5216,6293.3651,0
0.3963,0.45,24512.0,0.9524,2,4162.6646,8741.5956,12487.9937,18731.9905,13112.3933,0
0.1023,0.45,99600.0,0.9524,2,4365.3893,9167.3176,13096.168,19644.252,13750.9764,0
0.1463,0.45,9600.0,0.9524,2,601.9438,1264.0819,1805.8313,2708.7469,1896.1228,0
0.2434,0.45,15206.0,0.9524,2,1586.2275,3331.0777,4758.6824,7138.0235,4996.6165,0
0.1952,0.45,60000.0,0.9524,2,5019.7578,10541.4915,15059.2735,22588.9103,15812.2372,0
0.4813,0.45,84000.0,0.9524,2,17328.4846,36389.8178,51985.4539,77978.1809,54584.7266,0
0.2646,0.45,22200.0,0.9524,2,2517.6416,5287.0474,7552.9249,11329.3874,7930.5712,0
0.5962,0.45,21000.0,0.9524,3,5366.0733,11268.7538,16098.2198,24147.3296,16903.1308,0
0.1484,0.45,74400.0,0.9524,2,4731.8076,9936.796,14195.4229,21293.1344,14905.1941,0
0.9146,0.45,26898.0,0.9524,3,10543.4018,22141.1438,31630.2054,34583.1429,29996.1743,0
0.1728,0.45,15000.0,0.9524,2,1110.549,2332.1529,3331.647,4997.4704,3498.2293,0
0.4484,0.45,117960.0,0.9524,3,22666.7715,47600.2202,68000.3145,102000.4718,71400.3302,1
0.4025,0.45,37209.0,0.9524,2,6419.0466,13479.9979,19257.1398,28885.7097,20219.9968,0
0.1877,0.45,64800.0,0.9524,2,5212.9847,10947.2678,15638.954,23458.431,16420.9017,0
0.2123,0.45,120000.0,0.9524,2,10919.7528,22931.481,32759.2585,49138.8878,34397.2214,0
0.261,0.45,4000.0,0.9524,2,447.3744,939.4863,1342.1233,2013.185,1409.2295,0
0.1905,0.45,36432.0,0.9524,2,2975.1535,6247.8225,8925.4606,13388.191,9371.7337,0
0.1024,0.45,84000.0,0.9524,2,3684.7051,7737.8807,11054.1153,16581.1729,11606.8211,0
0.4763,0.45,35520.0,0.9524,2,7251.1937,15227.5067,21753.581,32630.3715,22841.2601,0
0.1378,0.45,64800.0,0.9524,2,3826.1737,8034.9647,11478.521,17217.7815,12052.447,0
0.2771,0.45,100188.0,0.9524,3,11896.9688,24983.6345,35690.9064,53536.3596,37475.4517,1
0.0983,0.45,35748.0,0.9524,1,1505.8579,1054.1005,1505.8579,2258.7868,1581.1508,0
0.1827,0.45,27600.0,0.9524,2,2160.9886,4538.0761,6482.9659,9724.4488,6807.1142,0
0.4764,0.45,80400.0,0.9524,2,16415.9473,34473.4893,49247.8419,73871.7629,51710.234,0
0.4167,0.45,96972.0,0.9524,2,17317.9724,36367.7419,51953.9171,77930.8756,54551.6129,0
0.852,0.45,28998.0,0.9524,3,10588.3228,22235.4778,31764.9683,37283.1429,30762.1393,0
0.1223,0.45,43748.0,0.9524,2,2292.2712,4813.7696,6876.8137,10315.2205,7220.6543,0
0.6661,0.45,180000.0,0.9524,3,51385.6033,107909.7669,154156.8099,231235.2148,161864.6504,0
0.2417,0.45,8556.0,0.9524,2,886.3115,1861.2542,2658.9345,3988.4018,2791.8813,0
0.2143,0.45,12372.0,0.9524,2,1136.0597,2385.7253,3408.179,5112.2685,3578.5879,0
0.7832,0.45,32400.0,0.9524,3,10874.9752,22837.448,32624.9257,41657.1429,32436.1106,1
0.154,0.45,73868.0,0.9524,3,4876.0427,10239.6897,14628.1282,21942.1923,15359.5346,1
0.1848,0.45,70992.0,0.9524,2,5623.9505,11810.296,16871.8515,25307.7772,17715.444,0
0.1775,0.45,18000.0,0.9524,2,1369.3615,2875.6591,4108.0844,6162.1266,4313.4886,0
0.87,0.45,61704.0,0.9524,3,23007.8783,48316.5444,69023.6348,79333.7143,66424.3821,0
0.4353,0.45,36484.0,0.9524,2,6806.4794,14293.6066,20419.4381,30629.1571,21440.41,0
0.319,0.45,8400.0,0.9524,2,1148.4683,2411.7835,3445.405,5168.1075,3617.6752,0
0.6818,0.45,38400.0,0.9524,3,11220.6984,23563.4667,33662.0953,49371.4286,35064.7715,0
0.2912,0.45,36000.0,0.9524,2,4493.2495,9435.824,13479.7486,20219.623,14153.7361,0
0.1069,0.45,64800.0,0.9524,2,2967.7583,6232.2924,8903.2749,13354.9124,9348.4387,0
0.5514,0.45,157200.0,0.9524,3,37147.8726,78010.5325,111443.6178,167165.4268,117015.7987,0
0.2065,0.45,18501.0,0.9524,2,1637.5874,3438.9335,4912.7621,7369.1432,5158.4002,0
0.3231,0.45,64800.0,0.9524,2,8973.0003,18843.3007,26919.001,40378.5015,28264.9511,0
0.1926,0.45,12000.0,0.9524,2,990.4059,2079.8524,2971.2177,4456.8266,3119.7786,0
0.5101,0.45,0.0,0.9524,3,0.0,0.0,0.0,0.0,0.0,0
0.2737,0.45,17520.0,0.9524,2,2055.4117,4316.3646,6166.2351,9249.3526,6474.5469,0
0.2423,0.45,16200.0,0.9524,2,1682.114,3532.4394,5046.342,7569.513,5298.6591,0
0.5033,0.45,64800.0,0.9524,3,13978.2038,29354.228,41934.6115,62901.9172,44031.3421,0
0.4579,0.45,48930.0,0.9524,2,9601.7983,20163.7765,28805.395,43208.0925,30245.6648,0
0.5016,0.45,64800.0,0.9524,3,13930.2738,29253.575,41790.8214,62686.2321,43880.3625,0
